49	43
25	28
40	30
52	57
58	52
32	27
43	52
42	40
47	43
31	23
26	25
40	39
35	32
45	46
35	35
35	33
47	43
38	35
33	32
32	30
38	40
45	43
29	29
59	55
26	25
50	45
49	44
42	40
33	31
31	34
27	25
57	51
34	31
28	25
46	40
37	35
56	55
27	23
36	35
31	28
57	52
55	53
47	43
64	61
60	56
31	23
35	35
36	35
40	39
30	24
32	29
27	31
20	21
45	39
59	52
43	52
29	26
48	34
39	39
47	48
54	53
43	42
54	50
61	64
27	26
51	49
27	32
32	31
54	53
37	39
55	45
36	33
32	32
57	55
51	49
62	57
57	49
51	52
50	50
32	32
54	54
34	32
45	41
64	61
55	43
27	28
55	51
27  26
41	41
44	41
22	21
30	28
53	47
42	37
31	28
36	35
56	55
46	45
34	34
55	51
44	39
45	35
48	45
44	44
59	47
64	57
34	33
37	38
54	59
49	46
63	60
48	47
64	55
33	45
52	47
27	24
33	32
46	47
54	57
27	27
50	48
42	39
54	46
49	42
62	63
34	32
23	24
36	32
53	50
32	29
59	56
53	50
55	55
62	58
42	38
50	44
37	35
51	44
25	25
54	43
34	31
43	35
43	41
58	50
28	23
45	43
47	49
57	59
27	20
34	38
57	42
27	21
54	49
24	21
48	42
37	35
25	26
57	57
40	34
61	63
25	23
32	31
37	34
45	45
24	23
47	46
44	40
52	53
45	40
20	22
60	60
36	32
25	24
25	28
35	40
35	31
49	48
33	33
50	49
63	64
57	55
41	41
38	38
30	31
52	52
51	43
46	51
50	47
32	30
52	32
30	33
33	31
20	18
32	28
51	45
64	64
44	43
40	39
59	56
